zip,week,deaths_weekly,wave,population,alpha_vaxleveldec,alpha_recoveredleveldec,dec65plus
60605,20,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,21,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,22,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,23,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,24,1,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,25,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60605,26,0,1,29060,4.29,0.6283551273227804,1.0058499655884376
60607,0,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,1,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,2,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,3,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,4,1,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,5,2,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,6,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,7,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,8,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,9,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,10,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,11,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,12,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,13,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,14,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,15,0,0,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,16,0,1,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,17,0,1,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,18,0,1,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
60607,19,0,1,29293,4.2299999999999995,0.8394496978800396,0.5270883828901103
