zip,week,deaths_weekly,wave,population,delta_vaxleveldec,delta_recoveredleveldec,dec65plus
60633,1,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,2,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,3,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,4,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,5,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,6,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,7,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,8,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,9,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,10,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,11,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,12,0,0,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,13,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,14,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,15,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,16,1,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,17,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,18,1,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,19,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,20,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,21,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,22,1,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,23,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,24,0,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60633,25,1,1,12689,3.7700000000000005,1.0970131610055953,1.6463078256757822
60634,0,1,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,1,1,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,2,2,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,3,1,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,4,3,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,5,0,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,6,0,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,7,1,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,8,0,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,9,0,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,10,0,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,11,0,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,12,0,0,75082,5.84,1.4147199062358486,1.5243333954876002
60634,13,2,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,14,0,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,15,1,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,16,2,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,17,2,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,18,1,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,19,2,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,20,1,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,21,0,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,22,0,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,23,0,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,24,0,1,75082,5.84,1.4147199062358486,1.5243333954876002
60634,25,1,1,75082,5.84,1.4147199062358486,1.5243333954876002
60636,0,1,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,1,2,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,2,2,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,3,1,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,4,0,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,5,0,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,6,1,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,7,1,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,8,0,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,9,0,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,10,0,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,11,2,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,12,0,0,30024,4.42,1.1447508659738874,2.1053157474020785
60636,13,0,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,14,1,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,15,1,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,16,1,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,17,1,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,18,0,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,19,0,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,20,1,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,21,0,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,22,0,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,23,0,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,24,1,1,30024,4.42,1.1447508659738874,2.1053157474020785
60636,25,2,1,30024,4.42,1.1447508659738874,2.1053157474020785
60637,0,1,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,1,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,2,2,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,3,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,4,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,5,1,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,6,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,7,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,8,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,9,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,10,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,11,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,12,0,0,47300,4.41,0.8090909090909091,1.1813953488372093
60637,13,1,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,14,1,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,15,0,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,16,2,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,17,1,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,18,0,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,19,3,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,20,1,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,21,0,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,22,0,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,23,0,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,24,0,1,47300,4.41,0.8090909090909091,1.1813953488372093
60637,25,0,1,47300,4.41,0.8090909090909091,1.1813953488372093
60638,0,2,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,1,0,0,58669,5.35,1.362900339191055,1.4044895941638686
